engagement,contempt
0.0854,0.1935
0.0871,0.1935
0.0872,0.1931
0.0829,0.193
0.0862,0.1928
0.0855,0.1928
0.085,0.1928
0.0839,0.1929
0.0861,0.1929
0.0894,0.1928
0.0951,0.1929
0.0964,0.1929
0.1331,0.1931
0.1353,0.1932
0.1256,0.1936
0.1397,0.1934
0.1192,0.1932
0.1278,0.1931
0.1105,0.1929
0.1091,0.1929
0.0,0.0
,
0.1074,0.1929
,
,
,
,
,
,
,
,
,
,
,
,
11.4936,0.1932
0.2695,0.1928
0.0941,0.1932
0.0824,0.1932
0.0838,0.1939
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
96.6115,43.877
1.1128,0.2274
0.1189,0.1944
0.0824,0.193
0.0817,0.1931
0.0941,0.1977
0.0985,0.1969
0.1082,0.1956
0.1233,0.194
0.1536,0.1933
0.168,0.1931
0.29,0.193
0.261,0.1928
0.2811,0.1928
0.3313,0.1928
0.4006,0.1927
0.3189,0.1927
0.3465,0.1927
0.3144,0.1927
0.2501,0.1927
0.2225,0.1927
0.2559,0.1927
0.3212,0.1927
0.5251,0.1927
3.0587,0.1927
10.3337,0.1927
15.0001,0.1927
23.9871,0.1927
20.7446,0.1927
25.6327,0.1927
24.6412,0.1927
23.4557,0.1927
22.3619,0.1927
23.0269,0.1927
21.2197,0.1927
17.0725,0.1927
20.1655,0.1927
23.287,0.1927
24.5754,0.1927
26.9618,0.1927
26.8776,0.1927
29.7347,0.1927
33.533,0.1927
35.201,0.1927
36.1989,0.1927
38.24,0.1927
34.1723,0.1927
26.5457,0.1927
19.8787,0.1927
15.5957,0.1927
11.5771,0.1927
8.628,0.1928
7.7704,0.1928
7.639,0.1928
6.9442,0.1928
7.7207,0.1928
7.1551,0.1928
6.8839,0.1928
5.5008,0.1929
5.9244,0.1929
4.6155,0.1931
3.3201,0.1933
1.4557,0.1935
1.373,0.1934
1.0297,0.1932
0.928,0.1933
0.5836,0.1934
0.3434,0.1931
0.2227,0.1932
0.123,0.1932
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
82.5394,97.9916
0.1414,0.2224
0.5047,0.1934
6.3761,0.1927
28.5886,0.1927
40.2705,0.1927
39.4347,0.1927
40.5937,0.1927
38.5519,0.1927
40.2025,0.1927
40.1824,0.1927
40.6476,0.1927
33.4826,0.1927
32.4208,0.1927
28.0822,0.1927
29.3117,0.1927
20.3342,0.1927
16.0112,0.1927
9.2586,0.1927
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0819,50.022
0.0921,0.2321
0.0833,0.1988
0.0826,0.195
0.0915,0.1934
0.1506,0.1929
0.1152,0.1929
0.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
38.0731,43.1995
