engagement,contempt
,
,
0.0831,0.3612
0.0917,0.179
0.0893,0.1817
0.0942,0.1765
0.0897,0.1816
0.0902,0.1814
0.0909,0.1806
0.0967,0.1757
0.0961,0.1792
0.0953,0.1837
0.0903,0.1858
0.0904,0.1853
0.0875,0.185
0.0902,0.1859
0.0891,0.1867
0.088,0.1866
0.0859,0.1871
0.0861,0.1872
0.0859,0.1872
0.0864,0.1871
0.0864,0.1878
0.0883,0.1882
0.0902,0.1888
0.091,0.1889
0.0944,0.1895
0.0976,0.1899
0.0968,0.1899
0.0945,0.1912
0.0904,0.1914
0.0874,0.1918
0.0858,0.1921
0.0843,0.1925
0.0837,0.1927
0.0838,0.1928
0.0837,0.1931
0.1185,0.1941
0.1145,0.1948
0.1031,0.1956
0.0984,0.1958
0.0861,0.1954
0.0857,0.195
0.0862,0.1947
0.0867,0.1948
0.0873,0.1946
0.0858,0.1944
0.0854,0.1943
0.0852,0.1942
0.085,0.1943
0.0844,0.194
0.0849,0.1938
0.0848,0.1937
0.0831,0.1935
0.0825,0.1936
0.0819,0.1934
0.0819,0.1933
0.0819,0.1934
0.0821,0.1934
0.0823,0.1933
0.0824,0.1932
0.0837,0.1932
0.0849,0.1931
0.0864,0.1931
0.0886,0.1931
0.0942,0.1932
0.0929,0.1932
0.0999,0.1933
0.0952,0.1933
0.0942,0.1933
0.0914,0.1933
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0916,2.3832
0.0889,0.2375
0.0856,0.1861
0.1,0.1826
0.1759,0.1831
0.7869,0.1867
0.3138,0.1901
0.4956,0.1908
0.2937,0.1914
0.1872,0.1912
0.1015,0.191
0.0916,0.191
0.0856,0.191
0.0888,0.1905
0.1254,0.1902
0.1534,0.1896
0.5238,0.1894
0.2668,0.1894
0.587,0.1889
1.4046,0.1875
2.2183,0.1848
2.1774,0.1817
5.3308,0.1791
7.2396,0.1759
23.5924,0.1704
28.7915,0.1667
40.0009,0.1587
69.0282,0.1539
40.8668,0.1362
28.5929,0.1093
30.3151,0.0685
33.1928,0.0427
31.0545,0.023
27.2433,0.0111
33.1801,0.0066
57.8376,0.0039
78.9593,0.0023
86.7836,0.0017
92.7186,0.0012
88.5679,0.0016
71.5671,0.0028
50.3069,0.0045
23.9528,0.0084
8.366,0.016
1.6961,0.0384
0.6143,0.0658
0.4123,0.0851
0.2309,0.1101
0.1567,0.135
0.1339,0.1466
0.1173,0.1572
0.1277,0.1686
0.1185,0.1791
0.1458,0.1855
0.1599,0.1897
0.1187,0.1916
0.099,0.1926
0.0925,0.1934
0.0927,0.194
0.1007,0.1939
0.1159,0.1936
0.1535,0.1938
0.2206,0.194
0.3075,0.1944
0.8508,0.1949
1.9147,0.1951
1.2169,0.1951
6.6434,0.1944
28.9146,0.1919
26.1191,0.1891
37.2599,0.1863
41.6236,0.1831
39.2017,0.1761
32.0867,0.1735
32.692,0.1674
38.4234,0.1548
31.33,0.1393
39.6381,0.1229
57.2229,0.1037
70.3235,0.0754
64.3416,0.055
45.8,0.051
40.9239,0.0377
49.4151,0.0403
42.8305,0.0453
43.4564,0.0561
41.2735,0.0634
46.8316,0.0593
53.0646,0.0544
18.8976,0.045
