engagement,contempt
0.0914,0.1984
0.095,0.1998
0.0974,0.1999
0.102,0.2014
0.1128,0.2041
0.1339,0.2085
0.1315,0.2079
0.1403,0.2093
0.1461,0.2083
0.1363,0.207
0.1377,0.209
0.1355,0.2078
0.1321,0.2063
0.1298,0.2067
0.1226,0.2059
0.1131,0.2048
0.1095,0.2035
0.1118,0.2035
0.1079,0.2043
0.112,0.2067
0.1127,0.2076
0.1174,0.2107
0.121,0.2125
0.1323,0.2182
0.1401,0.2219
0.1377,0.2207
0.1398,0.2214
0.1285,0.2167
0.1183,0.2121
0.1116,0.2094
0.101,0.2041
0.1041,0.2055
0.1094,0.2082
0.1191,0.2128
0.1278,0.2165
0.1275,0.2157
0.1412,0.2201
0.1349,0.2172
0.1355,0.2184
0.148,0.2229
0.1545,0.2244
0.1605,0.2266
0.1759,0.2295
0.1587,0.2237
0.1589,0.224
0.1545,0.2224
0.1372,0.2155
0.1248,0.2108
0.1225,0.2093
0.1086,0.204
0.1016,0.2008
0.098,0.1992
0.0961,0.199
0.0944,0.1983
0.098,0.2002
0.0959,0.1987
0.093,0.1972
0.0904,0.1959
0.088,0.1951
0.0866,0.1948
0.0843,0.1942
0.0841,0.1941
0.0844,0.1939
0.0853,0.1937
0.0856,0.1935
0.0853,0.1934
0.0852,0.1934
0.0847,0.1934
0.0842,0.1933
0.0832,0.1932
0.0837,0.1933
0.0837,0.1933
0.0818,0.1932
0.081,0.1932
0.0806,0.1932
0.0809,0.1932
0.0811,0.1932
0.0807,0.1932
0.0802,0.1932
0.0803,0.1932
0.0802,0.1931
0.0802,0.1931
0.0802,0.1931
0.0802,0.1931
0.0802,0.1932
0.0802,0.1931
0.0803,0.1931
0.0806,0.1931
0.0806,0.193
0.0803,0.193
0.0801,0.1929
0.0801,0.1929
0.0799,0.1929
0.08,0.193
0.0799,0.1929
0.0799,0.1929
0.08,0.1929
0.08,0.1929
0.0801,0.1929
0.0803,0.193
0.0804,0.193
0.0815,0.193
0.0817,0.1929
0.0824,0.1929
0.0845,0.193
0.0848,0.193
0.085,0.193
0.088,0.193
0.092,0.1931
0.0942,0.1931
0.0995,0.1931
0.1112,0.1931
0.1298,0.1933
0.1472,0.1934
0.1734,0.1935
0.1939,0.1936
0.2158,0.1936
0.336,0.1938
0.807,0.194
0.8515,0.194
0.6827,0.1944
0.8509,0.1948
0.5675,0.1951
0.4796,0.1952
0.3764,0.1953
0.223,0.1954
0.1945,0.1962
0.1513,0.1963
0.1306,0.1961
0.1082,0.1961
0.1043,0.1964
0.1,0.196
0.0993,0.1961
0.0972,0.1956
0.0999,0.196
0.1045,0.1963
0.1013,0.1954
0.0991,0.195
0.099,0.1943
0.1051,0.1944
0.101,0.1944
0.0946,0.1938
0.0973,0.1936
0.0939,0.1935
0.0953,0.1933
0.0959,0.1932
0.0924,0.1932
0.093,0.1931
0.0916,0.1931
0.0924,0.1928
0.0933,0.1924
0.0951,0.192
0.098,0.1917
0.1022,0.1916
0.1001,0.1917
0.1079,0.192
0.1059,0.192
0.1033,0.1921
0.1014,0.1921
0.1075,0.192
0.1056,0.1919
0.103,0.192
0.1038,0.1918
0.1028,0.1916
0.1044,0.1915
0.1018,0.1913
0.0981,0.192
0.0892,0.1926
0.0849,0.1927
0.0842,0.193
0.0827,0.1931
0.0826,0.1932
0.0837,0.1934
0.0853,0.1937
0.0865,0.1938
0.0863,0.1938
0.089,0.1939
0.0894,0.1938
0.0881,0.1938
0.0838,0.1937
0.0825,0.194
0.0825,0.1942
0.0834,0.1946
0.0841,0.1947
0.0848,0.1949
0.0858,0.195
0.0879,0.1952
0.0892,0.195
0.0904,0.1946
0.1079,0.1946
0.1123,0.1941
0.1183,0.1937
0.1593,0.1938
0.1994,0.1936
0.1612,0.1933
0.1616,0.1931
0.2672,0.1927
0.5381,0.1925
0.5752,0.1925
0.4189,0.1925
0.2615,0.1925
0.2648,0.1926
0.1979,0.1925
0.1297,0.1926
0.1017,0.1927
0.0973,0.1929
0.1081,0.1929
0.1024,0.1929
0.1103,0.1927
0.1339,0.1927
0.1539,0.1928
0.1764,0.1928
0.2252,0.1928
0.3467,0.1928
0.2811,0.1926
0.2298,0.1927
0.1875,0.1926
0.1363,0.1928
0.1021,0.1931
0.0933,0.1936
0.0985,0.1946
0.1012,0.196
0.1028,0.1964
0.1055,0.1968
0.1116,0.1975
0.1117,0.1969
0.1124,0.1975
0.1192,0.1964
0.1217,0.1957
0.1198,0.1961
0.1198,0.1963
0.1141,0.1958
0.1185,0.198
0.1199,0.1991
0.1206,0.1984
0.1173,0.2005
0.1179,0.2025
0.1218,0.2065
0.1337,0.2106
0.1395,0.2129
0.1328,0.2105
0.1243,0.2075
0.1183,0.2055
0.1171,0.2032
0.1124,0.2006
0.106,0.1985
0.1057,0.1995
0.1032,0.1996
0.1069,0.1994
0.11,0.1989
0.111,0.199
0.114,0.2012
0.1145,0.2025
0.1131,0.2022
0.1139,0.2019
0.1135,0.2029
0.1118,0.2014
0.1072,0.1996
0.1068,0.1998
0.1052,0.1983
0.1082,0.1983
0.0983,0.1967
0.0963,0.1976
0.0928,0.1962
0.0916,0.1961
0.0889,0.1952
0.0881,0.1952
0.0881,0.195
0.0885,0.1951
0.0888,0.1953
0.0877,0.1946
0.0873,0.1943
0.0854,0.194
0.0871,0.1941
0.0874,0.194
0.0876,0.1936
0.0895,0.1935
0.0892,0.1933
0.0893,0.1932
0.0881,0.193
0.0864,0.193
0.085,0.1931
0.0836,0.1931
0.0832,0.1931
0.0829,0.1931
0.0834,0.1932
0.0829,0.1931
0.0828,0.1931
0.0831,0.1931
0.0829,0.1932
0.0837,0.1931
0.0838,0.1932
0.0839,0.1932
0.0861,0.1931
0.085,0.193
0.0853,0.1931
0.0867,0.1931
0.0858,0.193
0.0857,0.193
0.0855,0.193
0.0857,0.193
0.0866,0.193
0.0867,0.193
0.0865,0.1931
0.0897,0.1931
0.0869,0.1931
0.0861,0.1931
0.0856,0.193
0.0852,0.193
0.0862,0.1929
0.0864,0.1929
0.0866,0.1929
0.0864,0.1929
0.0854,0.1929
0.087,0.1929
0.0872,0.1928
0.0876,0.1928
0.0894,0.1928
0.0877,0.1929
0.0882,0.1928
0.0889,0.1928
0.0863,0.1928
0.0846,0.1928
0.0831,0.1928
0.0816,0.1927
0.0813,0.1927
0.0815,0.1927
0.0818,0.1927
0.0819,0.1927
0.0824,0.1927
0.0821,0.1927
0.0816,0.1927
0.0814,0.1927
0.0816,0.1927
0.0815,0.1927
0.0815,0.1927
0.0818,0.1927
0.082,0.1927
0.0824,0.1927
0.0824,0.1927
0.0826,0.1927
0.0829,0.1927
0.0828,0.1927
0.0825,0.1927
0.0824,0.1927
0.0826,0.1927
0.0827,0.1927
0.0816,0.1927
0.082,0.1927
0.0828,0.1927
0.0828,0.1927
0.0847,0.1927
0.0861,0.1927
0.0866,0.1927
0.09,0.1927
0.092,0.1927
0.0901,0.1927
0.0903,0.1927
0.0902,0.1927
0.0906,0.1927
0.0877,0.1927
0.0862,0.1927
0.0855,0.1927
0.0847,0.1927
0.0835,0.1927
0.0827,0.1927
0.0833,0.1927
0.0814,0.1927
0.0809,0.1927
0.081,0.1926
0.0809,0.1927
0.0812,0.1927
0.0811,0.1926
0.0814,0.1926
0.0814,0.1926
0.0814,0.1926
0.081,0.1927
0.0811,0.1927
0.0816,0.1927
0.0823,0.1927
0.0821,0.1927
0.0833,0.1927
0.0839,0.1927
0.0862,0.1927
0.0853,0.1927
0.0851,0.1927
0.0854,0.1927
0.0859,0.1927
0.0881,0.1927
0.0887,0.1927
0.092,0.1927
0.0908,0.1927
0.1024,0.1927
0.1066,0.1928
0.1136,0.1928
0.1061,0.1928
0.1275,0.1928
0.1313,0.1929
0.1513,0.1929
0.1866,0.193
0.2043,0.193
0.1791,0.1931
0.1504,0.1931
0.1421,0.1931
0.1378,0.1933
0.1218,0.1933
0.112,0.1933
0.1213,0.1933
0.1105,0.1933
0.1021,0.1932
0.096,0.1933
0.1004,0.1933
0.1022,0.1933
0.1069,0.1934
0.1052,0.1935
0.1126,0.1937
0.1061,0.1938
0.1011,0.1937
0.096,0.1935
0.0927,0.1935
0.0972,0.1936
0.0978,0.1936
0.1009,0.1936
0.0995,0.1936
0.093,0.1933
0.0914,0.1933
0.0893,0.1932
0.0877,0.1932
0.0879,0.1932
0.0887,0.1931
0.0905,0.1932
0.0906,0.1932
0.0881,0.1931
0.0869,0.1931
0.0866,0.193
0.0875,0.193
0.0863,0.193
0.0875,0.193
0.0863,0.193
0.0849,0.1929
0.0852,0.1929
0.0851,0.1929
0.0838,0.1929
0.0845,0.1929
0.0863,0.1929
0.0865,0.1928
0.0853,0.1928
0.0842,0.1928
0.0847,0.1928
0.0849,0.1928
0.0862,0.1929
0.086,0.1929
0.0846,0.1929
0.0836,0.1929
0.0852,0.1929
0.0859,0.193
0.0871,0.193
0.0875,0.193
0.0906,0.1931
0.0885,0.193
0.0862,0.193
0.0846,0.193
0.0837,0.193
0.0828,0.193
0.0847,0.193
0.0856,0.193
0.0854,0.1931
0.0843,0.1931
0.0837,0.193
0.0842,0.193
0.0854,0.1931
0.0857,0.193
0.0899,0.1931
0.0926,0.1931
0.103,0.1931
0.1168,0.1932
0.1181,0.1933
0.119,0.1933
0.1244,0.1932
0.1226,0.193
0.1109,0.193
0.1063,0.193
0.0966,0.1929
0.0932,0.1929
0.0916,0.1929
0.085,0.1929
0.0858,0.193
0.0853,0.1931
0.0841,0.1931
0.0831,0.1932
0.0832,0.1932
0.0839,0.1933
0.086,0.1935
0.0862,0.1935
0.0851,0.1934
0.0863,0.1935
0.0859,0.1934
0.0863,0.1934
0.0879,0.1935
0.0871,0.1933
0.0874,0.1934
0.0862,0.1933
0.0877,0.1935
0.0861,0.1935
0.0841,0.1936
0.0822,0.1935
0.0817,0.1935
0.0822,0.1935
0.0818,0.1934
0.0821,0.1935
0.0821,0.1933
0.0816,0.1933
0.081,0.1931
0.0807,0.1931
0.0808,0.193
0.0808,0.1929
0.081,0.1929
0.0807,0.1928
0.0805,0.1929
0.0807,0.1928
0.0807,0.1928
0.0806,0.1928
0.0798,0.1928
0.0797,0.1928
0.0797,0.1928
0.0797,0.1927
0.0797,0.1927
0.0797,0.1927
0.0797,0.1927
0.0797,0.1927
0.0797,0.1928
0.0798,0.1927
0.0797,0.1927
0.0796,0.1927
0.0796,0.1927
0.0798,0.1927
0.0799,0.1927
0.0801,0.1927
0.08,0.1927
0.0801,0.1927
0.0803,0.1927
0.0802,0.1927
0.0802,0.1927
0.0799,0.1927
0.08,0.1927
0.08,0.1927
0.0801,0.1927
0.08,0.1927
0.0802,0.1927
0.0806,0.1927
0.0808,0.1927
0.0808,0.1927
0.0808,0.1927
0.0809,0.1927
0.0806,0.1927
0.0805,0.1927
0.0808,0.1927
0.0813,0.1927
0.0816,0.1927
0.081,0.1927
0.0808,0.1927
0.0805,0.1927
0.0803,0.1927
0.0802,0.1927
0.08,0.1927
0.08,0.1927
0.0801,0.1927
0.0804,0.1927
0.0807,0.1927
0.0808,0.1927
0.0809,0.1927
0.0811,0.1927
0.081,0.1927
0.0808,0.1927
0.0812,0.1927
0.0814,0.1927
0.0818,0.1928
0.0821,0.1927
0.0817,0.1928
0.0818,0.1927
0.0815,0.1927
0.0815,0.1927
0.0815,0.1927
0.0811,0.1927
0.0814,0.1927
0.0816,0.1927
0.0817,0.1928
0.0819,0.1928
0.0821,0.1928
0.0823,0.1928
0.082,0.1928
0.0812,0.1928
0.0808,0.1928
0.0805,0.1928
0.0804,0.1927
0.0801,0.1927
0.08,0.1927
0.0798,0.1927
0.0796,0.1927
0.0796,0.1927
0.0795,0.1927
0.0795,0.1927
0.0794,0.1927
0.0794,0.1927
0.0794,0.1927
0.0794,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0793,0.1927
0.0794,0.1927
0.0795,0.1927
0.0795,0.1927
0.0796,0.1927
0.0797,0.1927
0.0805,0.1927
0.0807,0.1927
0.0808,0.1927
0.081,0.1927
0.0812,0.1927
0.0812,0.1927
0.0816,0.1927
0.082,0.1928
0.0818,0.1928
0.0841,0.1928
0.0862,0.1928
0.0887,0.1928
0.0855,0.1928
0.0858,0.1928
0.0895,0.1928
0.0853,0.1927
0.0826,0.1927
0.0817,0.1927
0.0816,0.1927
0.0816,0.1927
0.0815,0.1927
0.0809,0.1927
0.0811,0.1927
0.0807,0.1927
0.0805,0.1927
0.0799,0.1927
0.0795,0.1927
0.0794,0.1927
0.0795,0.1927
0.0795,0.1927
0.0796,0.1927
0.0793,0.1927
0.0794,0.1927
0.0795,0.1927
0.0794,0.1927
0.0793,0.1927
0.0794,0.1927
0.0794,0.1927
0.0802,0.1927
0.0802,0.1927
0.0804,0.1927
0.0805,0.1927
0.0805,0.1927
0.0806,0.1927
0.0812,0.1927
0.0808,0.1927
0.0811,0.1927
0.0815,0.1927
0.0814,0.1927
0.0824,0.1927
0.0825,0.1927
0.0825,0.1927
0.083,0.1927
0.0828,0.1927
0.0815,0.1927
0.0807,0.1927
0.081,0.1927
0.0811,0.1927
0.0814,0.1927
0.0809,0.1927
0.0809,0.1927
0.0812,0.1927
0.0809,0.1927
0.0808,0.1927
0.0812,0.1927
0.0807,0.1927
0.0815,0.1927
0.081,0.1927
