engagement,contempt
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0792,0.2559
0.0794,0.1928
0.0794,0.1928
0.0801,0.1929
0.0809,0.193
0.0822,0.1933
0.0812,0.1933
0.0809,0.1932
0.0806,0.1931
0.081,0.1931
0.0808,0.193
0.081,0.193
0.081,0.193
0.0807,0.193
0.0805,0.193
0.0804,0.1929
0.0801,0.1929
0.0801,0.1929
0.0801,0.1929
0.0803,0.1929
0.0803,0.1929
0.0804,0.1929
0.0804,0.1929
0.0804,0.1929
0.0805,0.1929
0.0809,0.193
0.0808,0.193
0.0807,0.1929
0.0805,0.1929
0.0805,0.1929
0.0806,0.1929
0.0806,0.1929
0.0804,0.1929
0.0803,0.1929
0.0806,0.193
0.0803,0.1929
0.08,0.1929
0.0799,0.193
0.0799,0.193
0.0803,0.193
0.0818,0.1931
0.0899,0.1931
0.1007,0.1932
0.1474,0.1932
0.7386,0.1932
7.5037,0.1931
9.1889,0.1932
38.6048,0.1931
46.861,0.193
47.598,0.193
48.6916,0.1928
49.2512,0.1924
49.3463,0.192
48.8743,0.1915
47.8941,0.1905
55.4329,0.189
50.7563,0.1875
49.0452,0.1853
49.652,0.1834
32.3692,0.179
9.2138,0.1753
0.6184,0.1673
0.2812,0.1607
0.2227,0.1481
0.1746,0.1285
0.259,0.1042
0.3651,0.087
0.5702,0.0688
1.0966,0.0487
2.0421,0.035
4.9209,0.0218
8.4874,0.0161
27.6033,0.0077
52.0776,0.0044
67.0255,0.0032
73.8124,0.0027
86.926,0.0017
91.0222,0.0014
92.8302,0.0012
94.2582,0.0011
96.164,0.0009
97.7242,0.0006
98.2795,0.0006
98.7247,0.0005
99.0846,0.0004
99.1074,0.0004
99.4115,0.0003
99.5831,0.0003
99.6186,0.0002
99.6278,0.0002
99.673,0.0002
99.7189,0.0002
99.7115,0.0002
99.7171,0.0002
99.7109,0.0002
99.7379,0.0002
99.7147,0.0002
99.6903,0.0002
99.6296,0.0002
99.5972,0.0003
99.4386,0.0003
99.2889,0.0003
99.196,0.0004
98.8169,0.0005
98.4808,0.0005
98.7803,0.0005
99.1088,0.0004
99.0258,0.0004
98.8355,0.0004
98.9894,0.0004
98.7025,0.0005
97.3995,0.0007
96.4957,0.0008
95.7433,0.0009
96.3363,0.0008
96.462,0.0008
96.8012,0.0008
97.8005,0.0006
98.1531,0.0006
98.1896,0.0006
98.6971,0.0005
99.2328,0.0004
99.5254,0.0003
99.6496,0.0002
99.7377,0.0002
99.7875,0.0002
99.8196,0.0002
99.8499,0.0002
99.8638,0.0001
99.8516,0.0001
99.8467,0.0002
99.8408,0.0002
99.8492,0.0002
99.8577,0.0001
99.861,0.0001
99.8761,0.0001
99.8801,0.0001
99.8817,0.0001
99.8858,0.0001
99.8843,0.0001
99.8813,0.0001
99.8839,0.0001
99.8827,0.0001
99.8804,0.0001
99.8814,0.0001
99.8776,0.0001
99.8717,0.0001
99.8696,0.0001
99.8685,0.0001
99.8557,0.0001
99.8348,0.0002
99.81,0.0002
99.7816,0.0002
99.7518,0.0002
99.7045,0.0002
99.7314,0.0002
99.7579,0.0002
99.7123,0.0002
