engagement,contempt
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.4845,0.0751
0.089,0.2525
0.0929,0.188
0.0831,0.1902
0.0856,0.1909
0.0922,0.1875
0.0883,0.1904
0.0912,0.1903
0.0947,0.1885
0.0918,0.1887
0.0941,0.189
0.097,0.1873
0.0987,0.1873
0.0981,0.1886
0.1207,0.1898
0.1615,0.1905
0.1798,0.1895
0.1566,0.19
0.1535,0.1904
0.1485,0.1896
0.1456,0.1886
0.1357,0.1875
0.18,0.1858
0.202,0.1836
0.2355,0.1829
0.3157,0.1785
0.2302,0.1752
0.3021,0.1676
0.3829,0.1564
0.7074,0.1544
0.8324,0.1348
2.1107,0.1207
3.4138,0.1264
2.346,0.1289
1.5461,0.1255
0.852,0.126
0.4257,0.1254
0.316,0.1151
0.3559,0.0875
0.7452,0.0592
0.7645,0.0584
1.8832,0.0362
5.3706,0.0205
4.2414,0.0233
3.8723,0.0245
4.1953,0.0235
4.7333,0.022
5.5183,0.0202
2.1294,0.0339
1.6152,0.0393
1.8179,0.0369
1.5944,0.0396
1.4224,0.042
1.6366,0.039
1.0953,0.0483
0.7529,0.0589
0.9338,0.0526
1.467,0.0414
1.2527,0.045
1.2024,0.046
1.0856,0.0485
0.7695,0.0582
0.5913,0.0669
0.3956,0.0827
0.2868,0.098
0.2065,0.1165
0.1853,0.1233
0.171,0.1286
0.1524,0.1366
0.1359,0.145
0.1103,0.1618
0.1002,0.1702
0.0998,0.1705
0.0927,0.1772
0.0888,0.1812
0.0868,0.1834
0.085,0.1855
0.084,0.1886
0.0859,0.1893
0.0892,0.1894
0.0916,0.1898
0.0959,0.1901
0.0929,0.1901
0.0891,0.1899
0.0884,0.1892
0.0895,0.189
0.0889,0.1888
0.092,0.1883
0.0913,0.1879
0.0909,0.1867
0.0851,0.187
0.0846,0.1859
0.0851,0.1853
0.0864,0.1838
0.0897,0.1803
0.0917,0.1781
0.0954,0.1745
0.1039,0.1669
0.1101,0.1619
0.1213,0.1539
0.125,0.1515
0.149,0.1381
0.1848,0.1233
0.2011,0.118
0.2321,0.1094
0.2167,0.1134
0.1972,0.1192
0.1763,0.1264
0.1332,0.1465
0.1202,0.1546
0.1119,0.1605
0.1095,0.1624
0.1089,0.1628
0.1026,0.168
0.0976,0.1725
0.0933,0.1766
0.0899,0.18
0.0911,0.1819
0.0873,0.1828
0.0867,0.1835
0.0854,0.1849
0.0844,0.1861
0.0844,0.1861
0.0833,0.1874
0.0833,0.1874
0.0838,0.1868
0.0833,0.188
0.0836,0.1885
0.0853,0.1887
0.0868,0.1884
0.0876,0.1875
0.0906,0.1881
0.0934,0.1857
0.0945,0.1816
0.0957,0.1814
0.1021,0.1822
0.1009,0.1831
0.1025,0.1822
0.1018,0.1804
0.1063,0.1784
0.1043,0.1728
0.1005,0.1742
0.1035,0.174
0.0997,0.1753
0.0948,0.1767
0.0943,0.1772
0.0928,0.1805
0.0923,0.1816
0.0948,0.1809
0.0924,0.1833
0.0916,0.1834
0.0899,0.1848
0.0905,0.1855
0.0919,0.1857
0.092,0.1863
0.0903,0.1863
0.089,0.188
0.0873,0.1895
0.0855,0.1899
0.0848,0.1903
