engagement,contempt
0.088,0.1922
0.0805,0.193
0.0803,0.1928
0.0835,0.193
0.099,0.1932
0.092,0.194
0.0903,0.1942
0.0899,0.194
0.0905,0.1943
0.0898,0.1941
0.0888,0.1943
0.089,0.1943
0.0882,0.1947
0.09,0.1951
0.0907,0.1956
0.0912,0.1957
0.0856,0.1949
0.0859,0.1946
0.0871,0.1947
0.0888,0.1948
0.0919,0.1949
0.0995,0.1954
0.1165,0.1955
0.1508,0.1957
0.292,0.1959
0.4197,0.1972
1.414,0.1984
3.2834,0.1991
2.5954,0.1997
3.6845,0.1991
11.878,0.1999
18.1094,0.2018
17.6134,0.2004
8.5175,0.1995
3.2888,0.198
1.4414,0.1973
0.65,0.1967
0.2273,0.1957
0.1746,0.1949
0.1306,0.1945
0.1358,0.1948
0.1219,0.1948
0.1136,0.1945
0.0873,0.1941
0.0853,0.1939
0.0848,0.1937
0.0842,0.1935
0.0836,0.1933
0.0834,0.1933
0.0838,0.1932
0.0845,0.1932
0.0858,0.1932
0.0878,0.1932
0.0859,0.1932
0.0868,0.1931
0.086,0.193
0.0886,0.193
0.0919,0.1931
0.0893,0.193
0.0898,0.193
0.0906,0.1929
0.0876,0.1928
0.0863,0.1929
0.0876,0.193
0.0836,0.1929
0.0827,0.1929
0.0824,0.1928
0.0816,0.1925
0.0813,0.1921
0.0814,0.1919
0.0811,0.1922
0.0813,0.1923
0.0809,0.1918
0.0807,0.1914
0.0809,0.1913
0.0806,0.1909
0.0807,0.1907
0.0806,0.1908
0.0809,0.1904
0.0817,0.1894
0.0831,0.1877
0.085,0.1856
0.085,0.1854
0.0851,0.1853
0.0881,0.183
0.0926,0.1831
0.0899,0.181
0.0945,0.1754
0.0937,0.1762
0.1011,0.1693
0.0984,0.1717
0.0954,0.1746
0.0928,0.1772
0.091,0.1789
0.095,0.175
0.0998,0.1705
0.1003,0.17
0.1029,0.1678
0.104,0.1668
0.1063,0.1649
0.1101,0.1619
0.1192,0.1553
0.1163,0.1573
0.1154,0.158
0.1092,0.1626
0.1075,0.164
0.1072,0.1642
