engagement,contempt
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0812,98.701
0.0798,61.3714
0.0794,0.3649
0.0793,0.2291
0.0795,0.2027
0.0797,0.1989
0.0797,0.1957
0.0798,0.1948
0.08,0.1944
0.0803,0.1944
0.0803,0.194
0.0803,0.194
0.0804,0.1937
0.081,0.1936
0.0814,0.1934
0.0817,0.1933
0.0821,0.1932
0.0823,0.1932
0.0816,0.1931
0.0814,0.1931
0.081,0.193
0.0806,0.193
0.0807,0.193
0.0802,0.193
0.0799,0.1928
0.08,0.1928
0.0801,0.1928
0.08,0.1927
0.08,0.1928
0.0798,0.1928
0.0798,0.1928
0.0797,0.1928
0.0797,0.1928
0.0798,0.1928
0.0798,0.1928
0.0797,0.1928
0.0798,0.1928
0.0796,0.1928
0.0794,0.1928
0.0794,0.1929
0.0795,0.1929
0.0796,0.1929
0.0796,0.1929
0.0796,0.1929
0.0796,0.1929
0.0797,0.1928
0.0799,0.1928
0.08,0.1928
0.0802,0.1928
0.0804,0.1928
0.0807,0.1928
0.0813,0.1927
0.0817,0.1927
0.082,0.1927
0.083,0.1927
0.083,0.1927
0.0837,0.1927
0.0843,0.1927
0.0838,0.1927
0.084,0.1927
0.084,0.1927
0.0835,0.1927
0.0837,0.1927
0.0839,0.1927
0.0807,0.1927
0.0,0.0
0.0806,0.1927
0.0803,0.1927
0.0807,0.1927
0.0803,0.1927
0.0802,0.1927
0.0803,0.1927
0.0801,0.1927
0.08,0.1926
0.0798,0.1927
0.0799,0.1926
0.0797,0.1926
0.0794,0.1926
0.0793,0.1926
0.0794,0.1926
0.0794,0.1926
0.0794,0.1926
0.0795,0.1926
0.0796,0.1927
0.0798,0.1927
0.0802,0.1926
0.0806,0.1926
0.0809,0.1926
0.0817,0.1927
0.0818,0.1927
0.0823,0.1926
0.082,0.1926
0.0818,0.1926
0.0824,0.1926
0.0817,0.1926
0.0808,0.1926
0.0804,0.1924
0.0798,0.1923
0.0798,0.1918
0.0797,0.1919
0.0801,0.1917
0.0804,0.1915
0.0808,0.1915
0.102,0.191
0.0895,0.1888
0.0838,0.1882
0.0867,0.1849
0.0866,0.185
0.0877,0.1842
0.0883,0.1839
0.0922,0.1816
0.0994,0.1762
0.1081,0.1658
0.1213,0.1553
0.1412,0.143
0.1578,0.135
0.2094,0.1167
0.2782,0.1005
0.4249,0.0803
0.4535,0.0774
0.376,0.0853
0.3033,0.0954
0.2781,0.0998
0.3419,0.0895
0.4334,0.079
0.6934,0.0616
1.0932,0.0484
1.372,0.0429
1.0055,0.0507
1.0996,0.0484
1.3764,0.043
4.5893,0.0225
21.0867,0.0091
42.9235,0.0053
44.7018,0.0051
45.1379,0.0051
50.6344,0.0046
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.9191,0.0001
89.4088,0.012
1.5935,0.0787
2.5414,0.0475
6.4419,0.0253
12.6926,0.0155
12.281,0.0145
20.9361,0.0099
