engagement,contempt
0.2138,0.1932
0.0882,0.1926
0.084,0.1888
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.9204,0.6558
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,0.3279
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.5592,0.7147
0.1054,1.4823
0.2066,1.9658
1.2284,0.4454
1.709,0.4635
0.8243,0.6749
0.7675,0.1046
1.1249,0.1188
0.9446,0.1126
0.8251,0.1076
0.98,0.0927
0.8252,0.113
1.1759,0.1076
1.2315,0.1077
2.4113,0.1105
1.02,0.123
0.8296,0.1207
0.6544,0.1236
0.6901,0.1362
0.5272,0.1427
0.3746,0.1497
0.1756,0.1681
0.1361,0.1745
0.1211,0.1795
0.1012,0.1843
0.0892,0.1866
0.0,0.0
0.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
41.7124,0.1927
2.3551,0.1926
0.5726,0.1926
0.2085,0.1926
,
,
,
,
,
,
,
,
,
7.1674,0.194
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0,0.0
99.9069,0.0009
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2.1628,98.5574
0.297,96.7178
1.8816,98.3252
34.2444,98.2618
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.9168,1.3591
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
50.6706,72.1523
52.8642,7.7815
50.2202,0.1928
47.3149,0.1893
42.7585,0.1912
28.137,0.1921
15.1422,0.1921
0.7752,0.1918
0.1641,0.1917
0.1042,0.1917
0.0936,0.1917
0.0927,0.1916
0.092,0.1915
0.0933,0.1917
0.0961,0.1918
0.0985,0.1918
0.1064,0.1919
0.1092,0.192
0.1131,0.192
0.1157,0.1918
0.1194,0.1918
0.1101,0.1918
0.1064,0.1916
0.1027,0.1915
0.0983,0.1915
0.0925,0.1915
0.0941,0.1916
0.0905,0.1918
0.1017,0.1915
0.1052,0.1912
0.1142,0.1909
0.1097,0.1911
0.1104,0.1911
0.1006,0.1909
0.0959,0.1909
0.0933,0.191
0.0914,0.1909
0.118,0.1907
0.1406,0.1907
0.1063,0.1908
0.0933,0.1909
0.0949,0.1907
0.0941,0.1906
0.0931,0.1908
0.0922,0.1908
0.0921,0.1907
0.0931,0.1909
0.092,0.1909
0.1125,0.1908
0.11,0.1907
0.0989,0.1909
0.1284,0.1909
0.1143,0.1908
,
0.0996,0.1904
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.9204,0.011
99.9181,0.0926
99.5288,0.2426
99.6935,0.7987
99.6013,0.3468
99.6588,0.2518
99.5361,0.2072
98.8745,0.1664
95.7012,0.1536
97.1808,0.1589
,
,
,
99.4674,0.1613
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,98.7127
99.921,94.1078
99.921,0.3085
99.921,0.2052
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,0.1029
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,92.357
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,0.1754
99.921,2.3043
99.921,16.0495
99.9202,0.2116
99.8987,0.1931
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.9207,36.4467
99.8957,0.1638
97.7544,0.1883
80.5612,0.1898
56.1523,0.192
16.8162,0.1915
2.2719,0.1916
19.9322,0.1926
59.8763,0.1924
69.7931,0.1923
72.5998,0.1922
79.2286,0.1923
86.2015,0.1923
91.3541,0.192
94.2247,0.1916
96.353,0.1916
97.49,0.1915
97.5686,0.1911
97.2332,0.1907
97.3666,0.1902
97.5689,0.1903
97.7387,0.1901
97.4168,0.1902
98.6951,0.1905
98.8938,0.1909
99.526,0.1919
99.7694,0.192
99.7796,0.1918
99.8475,0.1914
0.0,0.0
0.0,0.0
0.0,0.0
99.8886,0.1907
0.0,0.0
99.8985,0.1909
0.0,0.0
99.9063,0.1898
0.0,0.0
0.0,0.0
0.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,85.1746
99.921,95.1712
99.921,94.398
99.921,0.8867
99.9207,0.2231
99.9163,0.194
99.8893,0.1809
99.8226,0.1793
0.0,0.0
0.0,0.0
99.745,0.1855
99.7099,0.1875
0.0,0.0
0.0,0.0
0.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.5389,0.1914
99.8511,0.1923
99.8951,0.1923
99.9169,0.1927
99.9185,0.1929
99.919,0.1931
99.9202,0.1938
99.9204,0.1937
99.9206,0.1943
99.9204,0.1942
99.9192,0.1938
99.9188,0.194
99.9184,0.1938
99.9172,0.1935
99.9158,0.1932
99.9137,0.1931
99.9146,0.1932
99.9141,0.193
99.9117,0.193
99.911,0.1929
99.9061,0.1929
99.9053,0.1929
99.8709,0.1928
99.8531,0.1927
99.5042,0.1927
97.031,0.1926
75.3119,0.1926
27.7892,0.1926
13.3273,0.1926
4.8625,0.1925
