engagement,contempt
0.1122,0.1932
0.0967,0.1924
0.1625,0.1906
0.0861,0.191
0.1062,0.1868
0.137,0.1881
0.0863,0.1904
0.086,0.1889
0.0862,0.1884
0.0878,0.1902
0.0813,0.1906
0.0817,0.1907
0.0815,0.1905
0.0842,0.1907
0.084,0.1903
0.0841,0.1898
0.0826,0.1906
0.0837,0.1904
0.0846,0.1905
0.0841,0.1908
0.0857,0.1913
0.0868,0.1914
0.089,0.1913
0.0943,0.1916
0.0961,0.1915
0.0949,0.1916
0.098,0.1917
0.1017,0.1916
0.0967,0.1918
0.1029,0.1915
0.0935,0.1914
0.0943,0.1915
0.096,0.1916
0.1008,0.1915
0.11,0.1916
0.1174,0.1917
0.1139,0.1917
0.1216,0.1914
0.1172,0.1913
0.1247,0.1913
0.1485,0.1913
0.1901,0.1916
0.2065,0.1916
0.3365,0.1913
0.3053,0.1909
0.3236,0.1907
0.2337,0.191
0.1773,0.1908
0.1568,0.1905
0.147,0.1902
0.1467,0.1903
0.1305,0.1903
0.1205,0.1904
0.109,0.1907
0.0961,0.1906
0.0971,0.1906
0.0941,0.1903
0.0903,0.1901
0.0884,0.1893
0.0869,0.1886
0.0868,0.1888
0.0866,0.1894
0.0899,0.19
0.091,0.1901
0.0925,0.1895
0.0962,0.1891
0.0974,0.1891
0.099,0.1898
0.0937,0.1898
0.091,0.1904
0.0931,0.1904
0.1071,0.1908
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.9027,97.5303
99.7764,84.0178
0.7357,0.5733
0.4577,0.1921
0.408,0.169
0.1826,0.1439
0.1287,0.1603
0.1009,0.1735
0.0892,0.1826
0.0868,0.184
0.0929,0.1775
0.1017,0.1695
0.1162,0.1581
0.1244,0.1525
0.1232,0.1532
0.1339,0.1468
0.1446,0.1411
0.1536,0.1365
0.1509,0.1377
0.135,0.1459
0.123,0.1531
0.1249,0.1518
0.1207,0.1546
0.1144,0.1589
0.1089,0.1629
0.1033,0.1674
0.0981,0.172
0.0975,0.1726
0.0932,0.1774
0.0913,0.1825
0.09,0.1838
0.091,0.1839
0.0908,0.1837
0.0946,0.1853
0.1002,0.1876
0.1027,0.1894
0.1084,0.1905
0.1172,0.1912
0.1233,0.1914
0.1299,0.1917
0.1362,0.192
0.1435,0.1923
0.1372,0.1924
0.1359,0.1924
0.1474,0.1924
0.172,0.1925
0.1892,0.1925
0.2063,0.1926
0.2373,0.1926
0.2663,0.1926
0.2439,0.1925
0.18,0.1926
0.1331,0.1926
0.1151,0.1926
0.1009,0.1926
0.0926,0.1926
0.0889,0.1926
0.0863,0.1926
0.0846,0.1926
0.0847,0.1926
0.084,0.1926
0.0836,0.1926
0.0831,0.1926
0.0833,0.1926
0.083,0.1926
0.0833,0.1926
0.0832,0.1926
0.0833,0.1926
0.0832,0.1927
0.0834,0.1926
0.0837,0.1926
0.0833,0.1927
0.0855,0.1927
0.0889,0.1927
0.0898,0.1927
0.0885,0.1927
0.0879,0.1927
0.0866,0.1926
0.0844,0.1926
0.0895,0.1926
0.0941,0.1926
0.0951,0.1926
,
0.0911,0.1926
0.0883,0.1926
0.0885,0.1926
0.0913,0.1925
0.099,0.1925
0.0982,0.1925
0.0967,0.1925
0.0971,0.1924
0.0903,0.1923
0.0887,0.1922
0.0887,0.1922
0.0892,0.1922
0.0912,0.1921
0.0923,0.1921
0.0932,0.1921
0.0945,0.1921
0.0956,0.1923
0.0965,0.1923
0.0936,0.1923
0.0908,0.1924
0.0879,0.1924
0.0866,0.1924
0.0872,0.1924
0.0861,0.1924
0.0885,0.1924
0.0898,0.1924
0.0904,0.1924
0.0919,0.1924
0.0957,0.1923
0.0933,0.1923
0.0906,0.1923
0.0915,0.1923
0.0894,0.1922
0.0901,0.1923
0.0917,0.1922
0.0914,0.192
0.0931,0.192
0.0945,0.1918
0.0943,0.1915
0.095,0.1912
0.095,0.191
0.0959,0.1908
0.1001,0.1906
0.1033,0.1902
0.1099,0.1899
0.1211,0.1896
0.1325,0.1891
0.1501,0.189
0.1613,0.188
0.1542,0.1867
0.1542,0.1863
0.1417,0.1859
0.1242,0.1859
0.1209,0.1856
0.1196,0.1849
0.1385,0.1838
0.2078,0.1824
0.1976,0.1788
0.2766,0.1777
0.6617,0.1794
0.4607,0.1776
0.4798,0.1767
0.2766,0.1793
0.1862,0.181
0.1728,0.182
0.1155,0.1814
0.1005,0.1821
0.1023,0.1826
0.0939,0.183
0.0902,0.1831
0.0895,0.1833
0.0854,0.1851
0.0839,0.1868
0.0848,0.1857
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,0.0013
99.921,0.0005
99.921,44.7102
99.921,5.4531
99.9201,0.2051
99.9113,0.1752
99.8144,0.1808
81.9132,0.1785
2.7189,0.1808
0.3829,0.1809
0.2404,0.1816
0.1764,0.1789
,
,
,
,
,
,
,
,
,
,
,
,
,
,
45.0941,0.185
1.1593,0.1864
0.4838,0.1859
0.1731,0.1857
0.1193,0.1846
0.1461,0.1818
0.0967,0.1817
0.1292,0.187
0.5294,0.1862
0.496,0.1872
0.5066,0.1872
0.2466,0.1861
0.2405,0.1867
0.1465,0.1858
0.0867,0.186
0.0885,0.1846
0.0931,0.1851
0.0941,0.1857
0.0925,0.1866
0.0883,0.1873
0.0863,0.1879
0.0852,0.1886
0.0828,0.1892
0.0837,0.1899
0.0882,0.1907
0.0925,0.1905
0.0925,0.1908
0.0961,0.191
0.1002,0.191
0.1001,0.1915
0.1046,0.1918
0.1168,0.1918
0.0996,0.192
0.1054,0.1922
0.1168,0.1923
0.1355,0.1924
0.1607,0.1924
0.1973,0.1925
0.2586,0.1925
0.4388,0.1926
0.9748,0.1926
1.3684,0.1926
2.1111,0.1926
3.6237,0.1927
3.3443,0.1927
2.7473,0.1929
1.8992,0.193
0.5072,0.193
0.1669,0.1932
0.1461,0.1934
0.1304,0.1938
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,0.914
99.921,5.5022
99.916,0.7113
99.0844,0.2
2.5288,0.1949
0.1804,0.1943
0.1078,0.1906
0.1032,0.1884
0.0979,0.1879
0.0933,0.1874
0.0922,0.1874
0.0894,0.1883
0.0889,0.1881
0.0884,0.189
0.0848,0.1891
0.0847,0.1903
0.0849,0.1907
0.09,0.1909
0.1007,0.1915
0.0987,0.1913
0.0927,0.1913
0.089,0.1913
0.0958,0.1915
0.1094,0.1914
0.1688,0.1913
0.1665,0.1914
0.2294,0.1911
0.2302,0.1915
0.7149,0.1917
0.508,0.1917
0.3117,0.192
0.515,0.1921
0.4758,0.1922
0.6046,0.1923
0.8301,0.1922
0.3102,0.1922
0.2211,0.1923
0.1408,0.1923
0.1199,0.1923
0.1172,0.1923
0.1136,0.1923
0.1066,0.1923
0.1297,0.1922
0.1343,0.1923
0.1476,0.1923
0.1287,0.1923
0.133,0.1924
0.1492,0.1924
0.1686,0.1925
0.2152,0.1925
0.2458,0.1925
0.2597,0.1925
0.2547,0.1925
0.2362,0.1925
0.2781,0.1926
0.2715,0.1926
0.3185,0.1926
0.3174,0.1926
0.3117,0.1926
0.4016,0.1926
0.4303,0.1926
0.3413,0.1926
0.3232,0.1926
0.362,0.1926
0.2608,0.1925
0.3037,0.1925
0.2625,0.1925
0.2351,0.1925
0.1934,0.1925
0.1687,0.1925
0.1304,0.1925
0.1116,0.1925
0.1053,0.1925
0.0952,0.1925
0.0909,0.1925
0.0878,0.1925
0.0858,0.1925
0.0833,0.1924
0.0826,0.1924
0.0833,0.1923
0.0839,0.1923
0.0855,0.1922
0.0885,0.1923
0.088,0.1924
0.0892,0.1924
0.0909,0.1924
0.0916,0.1923
0.0896,0.1923
0.093,0.1923
0.0884,0.1923
0.0871,0.1923
0.0865,0.1923
0.0885,0.1924
0.0888,0.1924
0.0916,0.1924
0.0932,0.1923
0.0923,0.1923
0.0908,0.1923
0.089,0.1923
0.0892,0.1922
0.0889,0.1921
0.0918,0.1919
0.0945,0.1917
0.097,0.1913
0.1046,0.1909
0.1121,0.1905
0.111,0.1899
0.1165,0.1895
0.1145,0.189
0.1079,0.1886
0.1,0.1892
0.0995,0.1895
0.0985,0.1891
0.1024,0.1884
0.1064,0.1881
0.1046,0.1882
0.0974,0.186
0.0955,0.1851
0.0919,0.1846
0.0905,0.1848
0.0886,0.1846
0.0891,0.183
0.0919,0.1828
0.0925,0.1838
0.0918,0.185
0.0893,0.1876
0.0896,0.189
0.0995,0.19
0.0982,0.1914
0.0964,0.1918
0.0937,0.1922
0.0978,0.1924
0.0979,0.1927
0.0988,0.1928
0.0971,0.1929
0.0955,0.1928
0.104,0.1928
0.1126,0.1928
0.123,0.1928
0.1419,0.1928
0.1768,0.1928
0.2002,0.1929
0.1922,0.1929
0.1853,0.1929
0.1833,0.1928
0.3052,0.1929
0.9022,0.1928
3.1454,0.1928
2.9658,0.1928
2.8709,0.1927
1.3585,0.1927
0.6763,0.1927
0.4273,0.1926
0.3405,0.1926
0.2446,0.1925
0.4279,0.1925
0.7198,0.1924
1.1725,0.1923
1.9338,0.1922
1.2923,0.1922
0.7918,0.1918
1.3625,0.1916
1.148,0.1914
1.6281,0.1913
2.9635,0.1911
5.4802,0.191
9.1396,0.1909
6.5115,0.1911
1.0867,0.1914
1.384,0.1914
6.327,0.1911
10.0081,0.1912
11.5586,0.1911
21.376,0.1907
34.4894,0.1898
41.3826,0.1877
38.28,0.1871
15.7737,0.1867
3.422,0.1881
1.634,0.1883
1.3223,0.1885
1.801,0.1883
1.549,0.1885
1.0852,0.1888
1.9081,0.1895
0.4735,0.1902
0.2741,0.1904
0.1684,0.1908
0.1231,0.1913
0.0946,0.1916
0.0967,0.1916
0.0894,0.1918
0.0864,0.1919
0.0855,0.192
0.0872,0.1922
0.0917,0.1921
0.0852,0.192
0.0859,0.1922
0.0868,0.1923
0.0927,0.1923
0.094,0.1923
0.0934,0.1921
0.1023,0.1917
0.1577,0.1909
0.1651,0.1899
0.2194,0.1882
0.2046,0.1857
0.1341,0.1818
0.131,0.1781
0.1215,0.1726
0.101,0.1724
0.0971,0.173
0.0996,0.1706
0.1022,0.1683
0.1051,0.1659
0.1173,0.1566
0.1318,0.1474
0.1498,0.1378
0.1512,0.1371
0.1468,0.1392
0.1328,0.1468
0.1582,0.1338
0.1463,0.1395
0.1281,0.1495
0.1089,0.1628
0.0946,0.1754
0.0885,0.1816
0.0855,0.185
0.092,0.1861
0.0978,0.188
0.1109,0.1894
0.1211,0.1908
0.137,0.1912
0.1421,0.1915
0.1274,0.1916
0.1231,0.1915
0.1367,0.1915
0.1364,0.1918
0.1384,0.1923
0.121,0.1927
0.1026,0.193
0.0963,0.1937
0.0981,0.1941
0.1044,0.1951
0.1141,0.1971
0.1303,0.2016
0.1301,0.205
0.1509,0.2124
0.1517,0.2117
0.1569,0.2136
0.1686,0.2163
0.214,0.2162
0.2201,0.2168
0.3579,0.2222
0.9301,0.2314
,
0.5412,0.2225
0.3785,0.212
0.3034,0.2096
0.3199,0.206
0.5009,0.2023
0.706,0.1987
0.3818,0.1964
0.1914,0.1951
0.1235,0.1943
0.0974,0.1932
0.0964,0.1929
0.0938,0.1927
0.0897,0.1925
0.0908,0.1924
0.2053,0.1922
0.1295,0.192
0.1543,0.1919
0.1659,0.1917
0.1077,0.1915
0.0869,0.1913
0.0829,0.1914
0.0839,0.1913
0.0841,0.1915
0.0873,0.1916
0.0873,0.192
0.0937,0.1921
0.0904,0.1923
0.0928,0.1927
0.1038,0.1932
,
0.1849,0.1937
0.1376,0.1941
0.1418,0.1946
0.1676,0.1953
41.3947,0.1962
46.0432,0.1973
47.5841,0.198
47.3606,0.197
46.2384,0.1944
42.1785,0.1921
39.1967,0.189
