engagement,contempt
3.406,0.1928
0.1132,0.1925
0.0901,0.1932
0.0843,0.1948
0.0908,0.1992
0.1927,0.2428
0.2007,0.2458
0.513,0.3146
0.4002,0.2946
0.2455,0.259
0.1889,0.2418
0.2228,0.2524
0.4268,0.2995
0.7157,0.343
1.7926,0.4371
3.6901,0.5305
2.7629,0.4894
4.4148,0.553
4.3558,0.547
3.8663,0.5049
2.6958,0.4101
2.778,0.3882
17.4988,0.3779
80.7601,0.3661
90.9595,0.5348
93.9579,0.6387
96.9198,0.6486
98.6267,0.7026
98.7936,0.743
98.4679,0.6837
98.6092,0.6821
98.5138,0.6682
98.7841,0.7032
98.4604,0.7378
97.6964,0.7506
97.9702,0.7877
93.6366,0.6555
72.9211,0.5597
39.8374,0.4457
27.4124,0.4394
5.0024,0.3996
2.0081,0.3494
2.1452,0.374
1.8352,0.4044
2.8487,0.4672
3.9839,0.5183
4.5169,0.5456
4.3397,0.5471
3.3914,0.5141
3.2213,0.5062
2.3879,0.4689
2.373,0.4685
1.8328,0.4376
1.7391,0.4311
1.3181,0.4007
1.1104,0.3834
1.0406,0.3771
1.2082,0.3926
1.359,0.4047
1.1067,0.383
1.483,0.4141
0.91,0.3645
1.3972,0.4084
1.0451,0.3783
1.1283,0.3861
1.533,0.4188
0.9345,0.3668
0.6348,0.3304
0.6281,0.3267
0.5861,0.3195
0.5374,0.3113
0.5246,0.304
0.5748,0.3029
0.5352,0.2898
1.0674,0.2856
4.9893,0.2607
7.6725,0.2662
10.0924,0.2436
18.3476,0.2313
5.4456,0.2187
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.2967,0.1017
1.4755,0.0414
12.3535,0.0128
68.8343,0.003
88.9797,0.0016
95.6225,0.0009
99.2327,0.0004
97.0767,0.0008
97.8114,0.0006
99.4255,0.0003
99.1881,0.0004
98.6851,0.0006
96.6838,0.001
90.056,0.0021
77.8946,0.004
77.2215,0.004
80.439,0.0036
81.2415,0.0032
74.2553,0.004
73.9031,0.0038
65.0356,0.0047
57.6384,0.0056
51.2534,0.0065
56.5669,0.0058
46.9216,0.0078
36.68,0.0104
39.442,0.0091
14.1412,0.0194
10.8892,0.0213
13.1034,0.0175
10.301,0.0194
,
,
,
,
,
,
,
,
,
,
,
,
,
,
59.3599,0.0043
76.3864,0.0026
93.8664,0.0011
98.7672,0.0005
,
,
,
,
,
,
,
,
,
99.8422,0.0002
99.8902,0.0001
99.9006,0.0001
99.9052,0.0001
99.9089,0.0001
99.91,0.0001
99.9103,0.0001
99.9124,0.0001
99.9128,0.0001
99.9146,0.0001
99.9148,0.0001
99.9171,0.0001
99.9185,0.0001
99.9186,0.0001
99.9186,0.0001
99.9185,0.0001
99.9186,0.0001
99.9188,0.0001
99.9191,0.0001
99.9192,0.0001
99.9193,0.0001
99.9192,0.0001
99.9192,0.0001
99.919,0.0001
99.9192,0.0001
99.9189,0.0001
99.9187,0.0001
99.9185,0.0001
99.918,0.0001
99.9176,0.0001
99.9173,0.0001
99.9161,0.0001
99.9146,0.0001
99.9126,0.0001
99.9107,0.0001
99.9044,0.0001
99.8979,0.0001
99.8852,0.0001
99.8664,0.0001
99.8522,0.0002
99.8021,0.0002
99.7448,0.0002
99.4316,0.0003
98.5737,0.0005
96.5728,0.0009
92.9225,0.0013
79.302,0.0024
54.7199,0.0044
36.0176,0.0066
15.7166,0.0116
7.9922,0.0174
2.5336,0.0326
1.9645,0.037
1.2977,0.0456
1.1671,0.0478
0.8002,0.0583
0.5206,0.0732
0.3497,0.0905
0.2935,0.0996
0.3638,0.0884
0.3202,0.0948
0.3019,0.0977
0.3169,0.0952
0.2105,0.119
0.1816,0.129
0.141,0.1493
0.1308,0.1552
0.1295,0.1559
0.125,0.1594
0.1259,0.1595
0.1316,0.1549
0.1378,0.165
0.1546,0.1765
0.224,0.194
0.2571,0.207
0.3449,0.224
0.3911,0.228
0.7404,0.2711
1.4161,0.3234
1.6915,0.3356
1.4026,0.3239
1.5154,0.3356
1.6562,0.3509
2.1331,0.3729
2.6902,0.3978
3.6609,0.4401
4.5852,0.4641
3.7377,0.4538
3.4088,0.4352
3.1596,0.4135
2.7234,0.3911
3.1678,0.3923
3.8301,0.4187
9.6113,0.5255
18.4863,0.5978
13.9991,0.5818
9.3871,0.5353
7.9891,0.4996
6.7951,0.4843
5.0772,0.4535
6.5277,0.4911
2.3987,0.4186
1.6205,0.3854
1.2407,0.3701
1.2668,0.3786
1.041,0.3634
0.9651,0.3544
0.8691,0.3488
0.8025,0.3413
0.5842,0.3148
0.5256,0.3066
0.525,0.3089
0.6155,0.323
0.6535,0.3276
0.6694,0.3287
0.6259,0.3223
0.7236,0.3343
0.5325,0.3094
0.4734,0.3009
0.4238,0.2914
0.4842,0.3005
0.4695,0.2971
0.4277,0.2908
0.3906,0.2851
0.4009,0.2871
0.4028,0.2889
0.4213,0.2927
0.3853,0.2861
0.3605,0.2819
0.3485,0.2797
0.3175,0.2727
0.2914,0.266
0.2631,0.2592
0.2569,0.2578
0.2437,0.2547
0.1959,0.2406
0.1569,0.2268
0.1437,0.2217
0.1452,0.2221
0.1557,0.2257
0.1524,0.2241
0.1607,0.2271
0.1693,0.23
0.1723,0.2309
0.1765,0.2316
0.1931,0.237
0.2066,0.2403
0.217,0.2424
0.2238,0.2444
0.2828,0.2591
0.3625,0.2741
0.4539,0.2903
0.4842,0.2973
0.5289,0.304
0.5294,0.3069
0.5602,0.3126
0.435,0.2937
0.4637,0.2985
0.4645,0.298
0.656,0.3275
0.8038,0.3476
0.9728,0.3669
1.1394,0.3827
1.1787,0.3867
1.161,0.3858
1.0906,0.3791
0.9505,0.3655
1.1305,0.3815
1.0005,0.3698
0.8604,0.3558
0.9773,0.3676
1.0728,0.3756
0.807,0.3472
0.9472,0.3626
0.8032,0.3484
0.7119,0.338
0.7384,0.341
0.7384,0.3414
0.8635,0.3556
1.0135,0.3707
1.4681,0.408
1.5581,0.4148
1.9624,0.4417
1.9406,0.4396
3.3657,0.5082
3.4166,0.51
3.4243,0.5111
4.026,0.5344
1.9022,0.4374
0.9982,0.3689
1.3137,0.3982
1.0672,0.3782
1.3305,0.4017
1.4913,0.4145
1.629,0.425
1.8366,0.4395
3.0267,0.5028
2.7515,0.4901
3.2009,0.5102
3.5697,0.5254
2.8102,0.4927
2.9063,0.4971
1.6934,0.4297
1.1466,0.3857
1.0992,0.3791
0.7014,0.3364
0.4115,0.2912
0.3218,0.2702
0.2878,0.2622
0.2982,0.2644
0.2923,0.2608
0.2877,0.2579
0.4965,0.2981
0.5438,0.3061
0.4312,0.2905
0.3988,0.2834
0.2647,0.2548
0.2334,0.2504
0.2355,0.2531
0.2056,0.2442
0.1967,0.2416
0.1766,0.235
0.1692,0.233
0.1708,0.234
0.1954,0.2424
0.1871,0.2378
0.2022,0.2429
0.2396,0.2503
0.2305,0.246
0.3086,0.2603
0.3661,0.273
0.4014,0.2819
0.3495,0.2718
0.2945,0.2615
0.3216,0.2661
0.312,0.2598
0.3036,0.2569
0.4405,0.2838
0.4629,0.2875
0.5547,0.3037
1.0435,0.3608
1.0695,0.3645
0.8596,0.3451
0.9278,0.3557
0.7732,0.3397
0.8879,0.3513
0.9706,0.3585
0.9912,0.3599
0.9195,0.3527
1.3613,0.3934
1.6361,0.4167
1.3864,0.4013
1.8104,0.4332
2.147,0.4534
2.7822,0.4874
4.0373,0.5401
3.0488,0.5007
2.7451,0.4876
2.9232,0.4955
3.386,0.5141
3.6499,0.5242
3.8386,0.5318
4.1039,0.5409
3.8687,0.5329
3.1977,0.5069
3.4807,0.5192
3.7718,0.5311
4.5446,0.5588
6.7031,0.6225
6.9554,0.6277
6.5199,0.6143
7.2131,0.6292
9.2565,0.674
9.4579,0.6765
11.105,0.7103
9.5741,0.6829
7.7253,0.6372
7.9013,0.6398
4.9882,0.559
5.8241,0.5769
7.8078,0.6368
12.4356,0.733
12.9448,0.7447
12.9511,0.7464
14.0439,0.7654
8.9713,0.6743
7.0393,0.6309
5.2799,0.5835
4.2847,0.5513
3.0456,0.5031
2.4554,0.4749
2.2888,0.466
1.3446,0.4045
1.3845,0.4081
1.5522,0.4209
1.2379,0.3966
1.0096,0.3759
0.5672,0.3227
0.5461,0.3195
0.5784,0.3238
0.5413,0.318
0.5343,0.3168
0.582,0.3229
