engagement,contempt
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
55.877,0.0047
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
45.2084,0.1396
0.1067,0.1648
0.1116,0.1631
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
39.8961,0.0085
46.1922,0.0196
44.0169,0.049
33.6363,0.14
28.0782,0.1538
17.9505,0.1641
2.4467,0.1687
7.7836,0.1528
4.9242,0.1507
3.0656,0.1463
1.3145,0.1462
1.2293,0.1452
0.5366,0.1469
0.3172,0.1603
0.1525,0.1611
0.1471,0.1626
0.1228,0.1663
0.1227,0.1614
0.1593,0.1551
0.1352,0.1539
0.1232,0.1532
0.1346,0.1462
0.164,0.1417
0.1792,0.1308
0.2095,0.1316
0.3616,0.1297
0.4239,0.1237
0.9819,0.1224
2.656,0.1259
2.5548,0.1299
2.2162,0.1313
2.0583,0.1452
0.8025,0.1544
0.4537,0.1616
0.3577,0.1632
0.2236,0.1676
0.1421,0.1727
0.141,0.1719
0.1386,0.1742
0.1402,0.1754
0.1258,0.1772
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
77.3623,0.0024
46.3788,0.1081
43.3709,0.1481
22.416,0.1798
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
44.9562,0.0897
99.6564,0.0002
47.2098,0.0049
2.8,0.0393
2.5955,0.0306
1.2423,0.0455
5.6192,0.0435
4.4285,0.0934
5.1341,0.0942
3.8592,0.0977
2.8364,0.0926
2.8876,0.1173
4.01,0.1304
5.2614,0.1436
3.7326,0.1582
2.8836,0.1684
3.5112,0.1767
2.9484,0.1811
2.8793,0.1821
2.7873,0.185
3.4817,0.1877
2.6105,0.1885
2.8135,0.1885
2.7394,0.189
1.387,0.1921
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
99.921,3.9499
99.9176,0.2191
98.7403,0.1804
4.7966,0.1865
0.3052,0.1898
0.3721,0.1908
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
