engagement,contempt
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0908,0.1936
0.0837,0.193
0.0822,0.1927
0.081,0.1927
,
,
,
,
,
,
,
,
0.0889,0.1933
0.0844,0.1949
0.0837,0.1957
0.1001,0.1962
0.0944,0.1963
0.0922,0.198
0.0894,0.1986
0.0898,0.2006
0.0865,0.1987
0.085,0.1979
0.083,0.1963
0.0828,0.1954
0.0829,0.195
0.0807,0.1944
0.0807,0.1938
0.0808,0.1937
0.0807,0.1928
0.081,0.1925
0.0812,0.1925
0.0817,0.1925
0.0821,0.1925
0.0825,0.1925
0.0825,0.1925
0.0845,0.1922
0.085,0.1919
0.0855,0.1918
0.0888,0.1918
0.1002,0.1918
0.1071,0.1919
0.1202,0.192
0.1212,0.1921
0.1076,0.1922
0.1004,0.1923
0.0994,0.1923
0.0989,0.1922
0.0956,0.192
0.0944,0.1919
0.0927,0.1918
0.0933,0.1915
0.0914,0.1912
0.0873,0.1907
0.0892,0.1904
0.089,0.1897
0.0948,0.1893
0.1027,0.1886
0.1139,0.1888
0.1331,0.1898
0.1528,0.1909
0.1839,0.1913
0.1978,0.1917
0.2331,0.1918
0.2669,0.1919
0.2685,0.192
0.3229,0.192
0.324,0.1921
0.31,0.1923
0.2023,0.1922
0.155,0.1922
0.1311,0.1923
0.1018,0.1922
0.104,0.1921
0.1057,0.1917
0.1249,0.1915
0.1349,0.1911
0.2201,0.191
0.2089,0.191
0.2567,0.1912
0.3965,0.1919
0.7237,0.1936
0.6124,0.1977
0.5321,0.2053
0.4672,0.2204
0.3254,0.2633
0.2496,0.3604
0.1991,0.6469
0.1433,1.318
0.1645,3.0832
0.2245,10.1222
0.6981,14.9381
4.0112,8.1267
13.1282,2.9513
37.8132,0.675
74.8813,0.12
79.17,0.0925
82.3353,0.0727
73.1645,0.1324
66.8549,0.1828
62.7227,0.2166
69.0276,0.1516
81.0265,0.0716
85.5472,0.0479
90.737,0.0255
91.4509,0.0222
90.1913,0.025
84.0019,0.0449
83.6092,0.0434
69.9508,0.0797
60.5887,0.0958
48.5635,0.1177
53.8236,0.0924
47.8523,0.097
39.1532,0.1264
46.0785,0.0994
49.7249,0.0825
46.1104,0.0861
40.6871,0.0955
36.7239,0.0814
37.1551,0.0668
32.4841,0.0543
39.6262,0.0373
45.3184,0.0263
56.3566,0.0197
66.3923,0.0143
71.9828,0.0116
80.3263,0.0088
88.1327,0.0064
93.6089,0.0042
97.0507,0.0023
98.7009,0.0011
99.2443,0.0008
99.5372,0.0005
99.6458,0.0004
99.7192,0.0003
99.7234,0.0003
99.768,0.0003
99.7902,0.0003
99.7835,0.0003
99.807,0.0002
99.8153,0.0002
99.8392,0.0002
99.8534,0.0002
99.8711,0.0002
99.8878,0.0002
99.8932,0.0001
99.8992,0.0001
99.9031,0.0001
99.9071,0.0001
99.9094,0.0001
99.9107,0.0001
99.9115,0.0001
99.9123,0.0001
99.9124,0.0001
99.9121,0.0001
99.9118,0.0001
99.9127,0.0001
99.9133,0.0001
99.9135,0.0001
99.9143,0.0001
99.9148,0.0001
99.9151,0.0001
99.916,0.0001
99.9158,0.0001
99.9163,0.0001
99.9164,0.0001
