engagement,contempt
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.2214,0.2279
0.0979,0.1912
0.1844,0.1928
0.4837,0.193
0.1648,0.1932
0.3922,0.1932
0.1824,0.193
0.2241,0.193
0.1869,0.1929
0.2269,0.1928
0.1628,0.1928
0.1927,0.1928
0.1705,0.1928
0.2072,0.1928
0.1455,0.1929
0.1572,0.1929
0.1369,0.1929
0.1395,0.193
0.133,0.193
0.1272,0.193
0.115,0.193
0.1127,0.193
0.1069,0.193
0.109,0.193
0.1235,0.193
0.1233,0.193
0.1072,0.1929
0.1069,0.1929
0.1014,0.1929
0.0974,0.193
0.0928,0.193
0.093,0.1931
0.0954,0.1932
0.0945,0.1933
0.0936,0.1934
0.0906,0.1934
0.089,0.1933
0.0884,0.1932
0.0869,0.193
0.0844,0.193
0.0836,0.1929
0.0826,0.1927
0.0811,0.1927
0.0809,0.1927
0.082,0.1927
0.0817,0.1928
0.0825,0.1927
0.0843,0.1928
0.0827,0.1928
0.0824,0.1928
0.0812,0.1928
0.0809,0.1928
0.0809,0.1928
0.0807,0.1928
0.0805,0.1928
0.0805,0.1927
0.0806,0.1927
0.0813,0.1928
0.0814,0.1928
0.0819,0.1928
0.0822,0.1928
0.0828,0.1928
0.0832,0.1928
0.0852,0.1928
0.0847,0.1928
0.0856,0.1928
0.0995,0.1928
0.1179,0.1928
0.1201,0.1928
0.1164,0.1928
0.1079,0.1928
0.1034,0.1928
0.0967,0.1927
0.0969,0.1927
0.0965,0.1927
0.1004,0.1927
0.1049,0.1927
0.1123,0.1927
0.1102,0.1927
0.1048,0.1927
0.0938,0.1927
0.094,0.1927
0.0981,0.1927
0.1097,0.1927
0.1164,0.1927
0.1212,0.1927
0.1228,0.1927
0.1309,0.1927
0.1355,0.1927
0.1837,0.1927
0.2749,0.1927
0.4416,0.1926
1.0085,0.1923
2.4917,0.192
7.4785,0.1913
9.5854,0.1897
18.6853,0.187
34.7179,0.1828
36.8093,0.1753
31.859,0.1619
51.2653,0.147
50.4127,0.1168
44.6511,0.0695
43.5326,0.04
41.1975,0.0116
73.7867,0.0028
95.5411,0.001
99.0328,0.0004
99.5606,0.0003
99.6461,0.0002
99.7305,0.0002
99.7725,0.0002
99.8002,0.0002
99.8097,0.0002
99.7685,0.0002
99.7377,0.0002
99.6522,0.0002
99.4971,0.0003
98.4686,0.0005
93.4039,0.0012
79.5577,0.0023
71.8327,0.0028
51.6884,0.0044
32.2797,0.0068
12.0986,0.013
3.0355,0.0282
1.8816,0.0363
1.8166,0.037
1.0303,0.0501
0.6832,0.0624
0.5257,0.0717
0.4278,0.0799
0.4221,0.0807
0.5224,0.0722
0.478,0.0758
0.445,0.0787
0.3647,0.0876
0.3178,0.0943
0.2501,0.1071
0.2547,0.1059
0.3438,0.0902
0.6142,0.0663
1.8006,0.0375
7.6957,0.0169
8.2285,0.0163
5.5725,0.0203
3.1155,0.028
1.7166,0.0386
2.6423,0.0306
1.743,0.0383
1.3727,0.0435
1.4479,0.0424
1.4484,0.0423
1.5554,0.0407
1.7231,0.0386
2.0612,0.035
2.181,0.0339
1.905,0.0364
1.6045,0.0399
0.9116,0.0539
0.9821,0.0517
